date/time,level,msg
13-11-2022 15:01:14,2,envoi_abonnement
13-11-2022 15:04:55,2,envoi_abonnement
13-11-2022 15:05:19,2,envoi_abonnement
13-11-2022 15:05:19,4,Message du LOG
13-11-2022 15:05:19,4,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,3,Message du LOG
13-11-2022 15:05:19,0,Message du LOG
13-11-2022 15:05:19,3,Message du LOG
13-11-2022 15:05:19,3,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,4,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,7,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,4,Message du LOG
13-11-2022 15:05:19,2,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,4,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,0,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,7,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,3,Message du LOG
13-11-2022 15:05:19,7,Message du LOG
13-11-2022 15:05:19,3,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,2,Message du LOG
13-11-2022 15:05:19,2,Message du LOG
13-11-2022 15:05:19,4,Message du LOG
13-11-2022 15:05:19,3,Message du LOG
13-11-2022 15:05:19,0,Message du LOG
13-11-2022 15:05:19,1,Message du LOG
13-11-2022 15:05:19,5,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
13-11-2022 15:05:19,2,Message du LOG
13-11-2022 15:05:19,7,Message du LOG
13-11-2022 15:05:19,6,Message du LOG
